[23/02/2014 12:23:50] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Start to zip files
[23/02/2014 12:23:50] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Getting path content: ['/home/nemo/Documents/Tests/folderTest']
[23/02/2014 12:23:50] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Getting path content: ['/home/nemo/Documents/Tests/folderTest/subFolderTest']
[23/02/2014 12:23:50] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Operating System is: linux
[23/02/2014 12:23:50] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Properties file to use: ['/home/nemo/git/SecureFolder/resources/batchs/linux.properties']
[23/02/2014 12:23:50] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Properties file ['/home/nemo/git/SecureFolder/resources/batchs/linux.properties'] loaded
[23/02/2014 12:23:50] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Creating batch file command: hideFile with parameters [/home/nemo/Documents/Tests/, folderTest.encrypted]
[23/02/2014 12:23:50] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Looking for command key: file.hideFile
[23/02/2014 12:23:50] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Command found: mv %1%%2% %1%.%2%
[23/02/2014 12:23:50] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Applying parameters: [/home/nemo/Documents/Tests/, folderTest.encrypted]
[23/02/2014 12:23:50] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Final Command: mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted
[23/02/2014 12:23:50] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Executing command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted'
[23/02/2014 12:23:50] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Waiting for result for command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted'
[23/02/2014 12:23:50] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted' returned: 
[23/02/2014 12:23:50] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Start to zip files
[23/02/2014 12:23:50] | [WARNING] fr.nemolovich.apps.securefolder.file.FileUtils: Path ['/home/nemo/Documents/Tests/.folderTest.encrypted'] is not a directory
[23/02/2014 12:23:50] | [ERROR] fr.nemolovich.apps.securefolder.zip.ZipUtils: The source file to zip does not exist
[23/02/2014 12:23:50] | *** LOGGER CLOSED ***
[23/02/2014 12:24:44] | *** LOGGER STARTED ***
[23/02/2014 12:24:44] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Start to zip files
[23/02/2014 12:24:44] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Getting path content: ['/home/nemo/Documents/Tests/folderTest']
[23/02/2014 12:24:44] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Getting path content: ['/home/nemo/Documents/Tests/folderTest/subFolderTest']
[23/02/2014 12:24:44] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Operating System is: linux
[23/02/2014 12:24:44] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Properties file to use: ['/home/nemo/git/SecureFolder/resources/batchs/linux.properties']
[23/02/2014 12:24:44] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Properties file ['/home/nemo/git/SecureFolder/resources/batchs/linux.properties'] loaded
[23/02/2014 12:24:44] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Creating batch file command: hideFile with parameters [/home/nemo/Documents/Tests/, folderTest.encrypted]
[23/02/2014 12:24:44] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Looking for command key: file.hideFile
[23/02/2014 12:24:44] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Command found: mv %1%%2% %1%.%2%
[23/02/2014 12:24:44] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Applying parameters: [/home/nemo/Documents/Tests/, folderTest.encrypted]
[23/02/2014 12:24:44] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Final Command: mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted
[23/02/2014 12:24:44] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Executing command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted'
[23/02/2014 12:24:44] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Waiting for result for command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted'
[23/02/2014 12:24:44] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted' returned: 
[23/02/2014 12:24:44] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Start to zip files
[23/02/2014 12:24:44] | [WARNING] fr.nemolovich.apps.securefolder.file.FileUtils: Path ['/home/nemo/Documents/Tests/.folderTest.encrypted'] is not a directory
[23/02/2014 12:24:44] | *** LOGGER CLOSED ***
[23/02/2014 12:25:15] | *** LOGGER STARTED ***
[23/02/2014 12:25:15] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Start to zip files
[23/02/2014 12:25:15] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Getting path content: ['/home/nemo/Documents/Tests/folderTest']
[23/02/2014 12:25:15] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Getting path content: ['/home/nemo/Documents/Tests/folderTest/subFolderTest']
[23/02/2014 12:25:15] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Operating System is: linux
[23/02/2014 12:25:15] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Properties file to use: ['/home/nemo/git/SecureFolder/resources/batchs/linux.properties']
[23/02/2014 12:25:15] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Properties file ['/home/nemo/git/SecureFolder/resources/batchs/linux.properties'] loaded
[23/02/2014 12:25:15] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Creating batch file command: hideFile with parameters [/home/nemo/Documents/Tests/, folderTest.encrypted]
[23/02/2014 12:25:15] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Looking for command key: file.hideFile
[23/02/2014 12:25:15] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Command found: mv %1%%2% %1%.%2%
[23/02/2014 12:25:15] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Applying parameters: [/home/nemo/Documents/Tests/, folderTest.encrypted]
[23/02/2014 12:25:15] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Final Command: mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted
[23/02/2014 12:25:15] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Executing command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted'
[23/02/2014 12:25:15] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Waiting for result for command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted'
[23/02/2014 12:25:15] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchCommand: Command 'mv /home/nemo/Documents/Tests/folderTest.encrypted /home/nemo/Documents/Tests/.folderTest.encrypted' returned: 
[23/02/2014 12:25:15] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Start to zip files
[23/02/2014 12:25:15] | [WARNING] fr.nemolovich.apps.securefolder.file.FileUtils: Path ['/home/nemo/Documents/Tests/.folderTest.encrypted'] is not a directory
[23/02/2014 12:25:15] | *** LOGGER CLOSED ***
[23/02/2014 12:26:33] | *** LOGGER STARTED ***
[23/02/2014 12:26:33] | [INFO] fr.nemolovich.apps.securefolder.zip.ZipUtils: Start to zip files
[23/02/2014 12:26:33] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Getting path content: ['/home/nemo/Documents/Tests/folderTest']
[23/02/2014 12:26:33] | [INFO] fr.nemolovich.apps.securefolder.file.FileUtils: Getting path content: ['/home/nemo/Documents/Tests/folderTest/subFolderTest']
[23/02/2014 12:26:33] | [INFO] fr.nemolovich.apps.securefolder.batch.BatchUtils: Operating System is: linux
